Fecha,Producto,Categoría,Vendedor,Región,Canal de Venta,Método de Pago,Cliente,Cantidad,Precio Unitario (USD),Descuento (%),Total (USD)
2024-10-31,Smartphone X1,Audio,Carlos Gómez,Centro,Online,Tarjeta de débito,Cliente_00045,5,894.55,9.92,4029.05
2024-09-27,Tablet T8,Computación,Miguel Sánchez,Sur,Online,Tarjeta de crédito,Cliente_00633,9,385.76,19.35,2800.04
2024-04-11,Smartphone X1,Accesorios,Miguel Sánchez,Este,Marketplace,Tarjeta de débito,Cliente_00110,8,826.47,12.58,5780.0
2024-03-03,Impresora láser,Electrónica,Carlos Gómez,Oeste,Marketplace,PayPal,Cliente_00139,1,1475.77,19.94,1181.5
2024-09-12,"Monitor 24""",Electrónica,Sofía Díaz,Oeste,Marketplace,Tarjeta de crédito,Cliente_00858,2,29.88,2.74,58.12
2024-10-28,Smartphone X1,Computación,Luis Martínez,Norte,Tienda física,Tarjeta de débito,Cliente_00311,5,663.16,7.33,3072.75
2024-01-29,Auriculares BT,Electrónica,Laura Pérez,Sur,Tienda física,Tarjeta de débito,Cliente_00009,10,699.32,14.13,6005.06
2024-07-21,Auriculares BT,Electrónica,Andrés Ruiz,Norte,Marketplace,Tarjeta de débito,Cliente_00493,2,203.44,12.44,356.26
2024-04-12,Ratón ergonómico,Video,Andrés Ruiz,Este,Tienda física,Tarjeta de débito,Cliente_00578,2,1466.28,19.56,2358.95
2024-03-17,Cámara DSLR,Computación,Miguel Sánchez,Este,Marketplace,Tarjeta de crédito,Cliente_00482,6,742.67,10.57,3985.02
2024-02-25,Ratón ergonómico,Wearables,Luis Martínez,Norte,Tienda física,Tarjeta de débito,Cliente_00622,7,1094.08,8.94,6973.88
2024-02-10,"Monitor 24""",Accesorios,Sofía Díaz,Sur,Tienda física,Tarjeta de débito,Cliente_00788,8,1322.62,10.79,9439.27
2024-12-19,Smartphone X1,Wearables,Carlos Gómez,Sur,Marketplace,Tarjeta de débito,Cliente_00051,9,744.38,9.94,6033.5
2024-02-05,Cámara DSLR,Accesorios,Ana Rodríguez,Norte,Tienda física,PayPal,Cliente_00141,4,1201.86,1.83,4719.46
2024-10-24,Auriculares BT,Electrónica,María Fernández,Sur,Tienda física,Transferencia bancaria,Cliente_00196,9,582.59,18.32,4282.74
2024-08-06,Laptop Pro 15,Video,Sofía Díaz,Centro,Online,Transferencia bancaria,Cliente_00135,4,488.1,16.87,1623.03
2024-04-03,Smartphone X1,Accesorios,Andrés Ruiz,Sur,Marketplace,PayPal,Cliente_00969,1,1293.34,14.94,1100.12
2024-10-16,Smartphone X1,Computación,Jorge Herrera,Norte,Tienda física,Tarjeta de débito,Cliente_00242,10,1292.48,3.16,12516.38
2024-12-13,Teclado mecánico,Electrónica,Laura Pérez,Norte,Online,Tarjeta de débito,Cliente_00004,5,306.15,5.65,1444.26
2024-10-31,Tablet T8,Video,Camila López,Centro,Tienda física,Tarjeta de débito,Cliente_00859,7,122.76,6.3,805.18
2024-11-22,Cámara DSLR,Electrónica,Carlos Gómez,Norte,Online,Tarjeta de crédito,Cliente_00571,9,309.72,16.19,2336.19
2024-07-22,Cámara DSLR,Wearables,Laura Pérez,Oeste,Tienda física,PayPal,Cliente_00318,9,1299.9,11.98,10297.55
2024-03-05,Teclado mecánico,Accesorios,Sofía Díaz,Este,Online,Transferencia bancaria,Cliente_00785,9,645.04,16.19,4865.47
2024-01-13,Smartwatch S3,Wearables,Laura Pérez,Norte,Tienda física,PayPal,Cliente_00970,7,74.61,4.84,496.99
2024-05-10,Auriculares BT,Accesorios,María Fernández,Oeste,Marketplace,Tarjeta de crédito,Cliente_00201,1,390.98,3.99,375.38
2024-09-28,Cámara DSLR,Wearables,Camila López,Este,Online,Tarjeta de débito,Cliente_00004,10,564.28,7.33,5229.18
2024-04-10,Teclado mecánico,Wearables,Ana Rodríguez,Centro,Online,Tarjeta de crédito,Cliente_00483,3,961.77,16.98,2395.38
2024-06-29,Auriculares BT,Video,Jorge Herrera,Norte,Online,Transferencia bancaria,Cliente_00598,6,921.05,5.77,5207.43
2024-06-09,Tablet T8,Electrónica,María Fernández,Sur,Online,Transferencia bancaria,Cliente_00020,5,983.44,10.23,4414.17
2024-02-04,Laptop Pro 15,Computación,Carlos Gómez,Centro,Tienda física,Tarjeta de crédito,Cliente_00389,8,429.99,6.9,3202.57
2024-04-09,Auriculares BT,Electrónica,Sofía Díaz,Este,Tienda física,PayPal,Cliente_00122,6,205.02,11.17,1092.72
2024-11-04,Impresora láser,Accesorios,Jorge Herrera,Centro,Online,Tarjeta de crédito,Cliente_00223,6,169.43,2.27,993.5
2024-07-07,Auriculares BT,Computación,Andrés Ruiz,Centro,Marketplace,Tarjeta de débito,Cliente_00596,4,1163.89,2.74,4528.0
2024-10-27,Laptop Pro 15,Wearables,Jorge Herrera,Este,Online,Tarjeta de crédito,Cliente_00662,6,658.7,10.33,3543.94
2024-07-07,"Monitor 24""",Wearables,Ana Rodríguez,Sur,Online,PayPal,Cliente_00628,2,1101.6,11.56,1948.51
2024-08-31,Ratón ergonómico,Audio,Carlos Gómez,Centro,Online,Transferencia bancaria,Cliente_00313,8,1401.62,0.11,11200.63
2024-11-19,Smartwatch S3,Electrónica,Laura Pérez,Sur,Online,Tarjeta de débito,Cliente_00831,3,855.73,2.42,2505.06
2024-11-02,Cámara DSLR,Accesorios,Laura Pérez,Oeste,Online,Transferencia bancaria,Cliente_00435,3,280.25,4.01,807.04
2024-01-26,"Monitor 24""",Wearables,Sofía Díaz,Oeste,Tienda física,Tarjeta de débito,Cliente_00871,10,163.33,14.42,1397.78
2024-08-21,Cámara DSLR,Electrónica,Camila López,Oeste,Marketplace,Transferencia bancaria,Cliente_00989,6,1122.38,3.51,6497.91
2024-11-03,"Monitor 24""",Video,María Fernández,Centro,Online,PayPal,Cliente_00368,8,41.6,11.28,295.26
2024-09-05,Ratón ergonómico,Computación,Camila López,Centro,Tienda física,Tarjeta de débito,Cliente_00064,10,1137.25,2.29,11112.07
2024-05-02,Ratón ergonómico,Audio,Luis Martínez,Oeste,Marketplace,Tarjeta de débito,Cliente_00971,6,832.61,6.24,4683.93
2024-12-16,Smartwatch S3,Accesorios,Andrés Ruiz,Sur,Tienda física,Transferencia bancaria,Cliente_00035,10,161.09,8.76,1469.79
2024-04-21,Teclado mecánico,Accesorios,Ana Rodríguez,Norte,Online,Transferencia bancaria,Cliente_00704,7,1465.62,10.35,9197.5
2024-09-05,"Monitor 24""",Wearables,Ana Rodríguez,Sur,Tienda física,Tarjeta de débito,Cliente_00826,8,967.97,9.7,6992.62
2024-04-29,Smartphone X1,Audio,Luis Martínez,Norte,Tienda física,PayPal,Cliente_00672,3,548.19,11.62,1453.47
2024-07-08,Auriculares BT,Audio,Jorge Herrera,Sur,Tienda física,Tarjeta de crédito,Cliente_00621,4,1324.38,12.97,4610.43
2024-05-08,Teclado mecánico,Electrónica,Miguel Sánchez,Norte,Marketplace,PayPal,Cliente_00063,8,1323.03,15.52,8941.57
2024-10-12,Cámara DSLR,Wearables,Laura Pérez,Este,Online,Transferencia bancaria,Cliente_00183,7,40.63,1.27,280.8
2024-05-03,Tablet T8,Accesorios,Laura Pérez,Norte,Online,Tarjeta de débito,Cliente_00470,10,889.36,8.9,8102.07
2024-01-18,Laptop Pro 15,Audio,Camila López,Centro,Marketplace,Transferencia bancaria,Cliente_00557,5,1072.24,11.26,4757.53
2024-02-18,Smartwatch S3,Accesorios,Laura Pérez,Centro,Online,Tarjeta de débito,Cliente_00967,10,1438.1,1.1,14222.81
2024-10-25,Teclado mecánico,Accesorios,Sofía Díaz,Este,Marketplace,Transferencia bancaria,Cliente_00735,3,739.55,19.35,1789.34
2024-09-17,Smartwatch S3,Electrónica,Jorge Herrera,Centro,Marketplace,Tarjeta de crédito,Cliente_00548,10,938.69,3.28,9079.01
2024-09-13,Smartwatch S3,Computación,Camila López,Sur,Online,Tarjeta de crédito,Cliente_00354,2,473.04,16.18,793.0
2024-06-04,Laptop Pro 15,Wearables,Sofía Díaz,Centro,Marketplace,Transferencia bancaria,Cliente_00183,3,1177.7,10.96,3145.87
2024-03-12,Tablet T8,Video,María Fernández,Este,Marketplace,PayPal,Cliente_00923,1,347.79,4.77,331.2
2024-09-19,Smartphone X1,Video,Luis Martínez,Norte,Online,Tarjeta de crédito,Cliente_00521,4,1009.2,1.28,3985.13
2024-12-30,Cámara DSLR,Computación,Sofía Díaz,Norte,Tienda física,Tarjeta de crédito,Cliente_00826,4,666.62,18.85,2163.85
2024-10-02,Smartwatch S3,Wearables,Andrés Ruiz,Oeste,Marketplace,Tarjeta de débito,Cliente_00016,4,317.45,13.47,1098.76
2024-09-12,Smartwatch S3,Accesorios,Camila López,Sur,Online,Tarjeta de crédito,Cliente_00996,6,472.88,14.05,2438.64
2024-08-08,Smartwatch S3,Video,Jorge Herrera,Sur,Tienda física,Tarjeta de débito,Cliente_00805,6,646.1,7.99,3566.86
2024-03-21,Tablet T8,Wearables,Laura Pérez,Norte,Tienda física,Transferencia bancaria,Cliente_00557,8,1162.27,6.44,8699.36
2024-04-05,"Monitor 24""",Wearables,María Fernández,Oeste,Online,Transferencia bancaria,Cliente_00287,1,506.7,16.03,425.48
2024-05-01,Ratón ergonómico,Video,Ana Rodríguez,Norte,Marketplace,Tarjeta de débito,Cliente_00331,9,1494.77,17.15,11145.75
2024-02-28,Auriculares BT,Computación,Sofía Díaz,Oeste,Marketplace,Tarjeta de crédito,Cliente_00504,6,558.7,15.47,2833.61
2024-03-26,Ratón ergonómico,Electrónica,Ana Rodríguez,Centro,Marketplace,PayPal,Cliente_00385,5,40.38,5.63,190.53
2024-04-28,Cámara DSLR,Accesorios,Luis Martínez,Centro,Online,Transferencia bancaria,Cliente_00008,7,862.79,6.76,5631.26
2024-02-05,"Monitor 24""",Video,Ana Rodríguez,Sur,Marketplace,Transferencia bancaria,Cliente_00384,1,69.46,18.84,56.37
2024-12-27,Tablet T8,Computación,Jorge Herrera,Norte,Tienda física,PayPal,Cliente_00915,5,1499.72,8.71,6845.47
2024-01-08,Auriculares BT,Wearables,Sofía Díaz,Oeste,Marketplace,Tarjeta de débito,Cliente_00001,7,1195.68,16.61,6979.54
2024-03-13,"Monitor 24""",Accesorios,Luis Martínez,Oeste,Online,Transferencia bancaria,Cliente_00129,5,964.09,18.79,3914.69
2024-04-06,Cámara DSLR,Video,Laura Pérez,Oeste,Online,Transferencia bancaria,Cliente_00706,4,990.92,15.03,3367.94
2024-09-30,"Monitor 24""",Audio,Andrés Ruiz,Oeste,Online,Transferencia bancaria,Cliente_00997,8,1067.77,10.0,7687.94
2024-07-28,"Monitor 24""",Audio,Carlos Gómez,Oeste,Tienda física,Tarjeta de crédito,Cliente_00548,5,1353.57,4.17,6485.63
2024-02-27,Teclado mecánico,Audio,Miguel Sánchez,Oeste,Online,Tarjeta de crédito,Cliente_00186,9,1098.6,19.16,7992.97
2024-08-11,Teclado mecánico,Electrónica,Jorge Herrera,Oeste,Online,PayPal,Cliente_00712,3,1090.82,18.42,2669.67
2024-03-04,Smartwatch S3,Audio,Sofía Díaz,Sur,Tienda física,Tarjeta de débito,Cliente_00213,5,790.06,4.16,3785.97
2024-03-15,Cámara DSLR,Video,Luis Martínez,Este,Online,Transferencia bancaria,Cliente_00134,9,1435.46,11.22,11469.61
2024-01-09,Smartphone X1,Video,María Fernández,Este,Marketplace,Tarjeta de débito,Cliente_00364,7,209.76,11.36,1301.52
2024-07-15,Ratón ergonómico,Electrónica,Miguel Sánchez,Oeste,Online,Tarjeta de débito,Cliente_00922,2,1293.29,10.34,2319.13
2024-06-02,Auriculares BT,Computación,Miguel Sánchez,Este,Tienda física,PayPal,Cliente_00081,5,500.91,16.11,2101.07
2024-05-30,Laptop Pro 15,Audio,Ana Rodríguez,Sur,Tienda física,PayPal,Cliente_00301,8,689.07,4.62,5257.88
2024-07-30,Smartwatch S3,Accesorios,Ana Rodríguez,Oeste,Tienda física,Transferencia bancaria,Cliente_00813,4,96.77,2.0,379.34
2024-10-15,Laptop Pro 15,Accesorios,Luis Martínez,Norte,Tienda física,Tarjeta de débito,Cliente_00987,6,96.12,15.09,489.69
2024-04-10,Ratón ergonómico,Accesorios,Andrés Ruiz,Este,Online,Transferencia bancaria,Cliente_00120,7,486.82,4.18,3265.3
2024-07-17,Impresora láser,Video,Sofía Díaz,Norte,Marketplace,Tarjeta de crédito,Cliente_00412,8,197.81,1.12,1564.76
2024-04-04,Teclado mecánico,Video,Luis Martínez,Este,Online,PayPal,Cliente_00333,9,370.28,12.22,2925.29
2024-11-30,Auriculares BT,Audio,Sofía Díaz,Sur,Marketplace,Tarjeta de débito,Cliente_00556,2,361.03,5.75,680.54
2024-10-10,Teclado mecánico,Audio,Andrés Ruiz,Este,Online,Tarjeta de crédito,Cliente_00047,10,220.35,5.29,2086.93
2024-11-08,Auriculares BT,Audio,Andrés Ruiz,Sur,Marketplace,PayPal,Cliente_00796,5,1265.52,16.68,5272.16
2024-03-01,Impresora láser,Video,Carlos Gómez,Oeste,Tienda física,PayPal,Cliente_00384,9,158.31,14.02,1225.03
2024-07-15,Laptop Pro 15,Accesorios,Ana Rodríguez,Norte,Online,Tarjeta de débito,Cliente_00057,5,80.71,2.35,394.07
2024-03-26,Teclado mecánico,Accesorios,Sofía Díaz,Este,Marketplace,Tarjeta de crédito,Cliente_00928,10,1370.39,11.24,12163.58
2024-07-21,Smartwatch S3,Accesorios,Luis Martínez,Sur,Marketplace,Tarjeta de crédito,Cliente_00501,9,589.17,10.33,4754.78
2024-02-18,Cámara DSLR,Video,Ana Rodríguez,Sur,Tienda física,Tarjeta de débito,Cliente_00586,1,641.6,1.66,630.95
2024-08-16,Ratón ergonómico,Video,Jorge Herrera,Centro,Tienda física,Tarjeta de débito,Cliente_00702,6,1380.7,12.81,7222.99
2024-09-15,Impresora láser,Electrónica,Andrés Ruiz,Norte,Marketplace,PayPal,Cliente_00219,6,463.05,9.52,2513.81
2024-06-10,Ratón ergonómico,Audio,Andrés Ruiz,Sur,Tienda física,PayPal,Cliente_00391,5,1039.8,1.19,5137.13
2024-05-05,Smartphone X1,Accesorios,Carlos Gómez,Este,Marketplace,Transferencia bancaria,Cliente_00015,8,1279.99,10.98,9115.58
2024-10-15,Smartwatch S3,Video,Carlos Gómez,Oeste,Online,Transferencia bancaria,Cliente_00045,1,32.33,8.91,29.45
2024-05-27,Impresora láser,Audio,Camila López,Este,Tienda física,Transferencia bancaria,Cliente_00383,2,731.16,19.67,1174.68
2024-03-12,Smartphone X1,Accesorios,Laura Pérez,Oeste,Online,Tarjeta de crédito,Cliente_00376,4,73.89,14.5,252.7
2024-11-19,Laptop Pro 15,Accesorios,Luis Martínez,Oeste,Marketplace,Tarjeta de débito,Cliente_00868,6,885.34,15.19,4505.14
2024-11-25,Smartwatch S3,Video,Jorge Herrera,Este,Marketplace,PayPal,Cliente_00510,8,1128.61,8.55,8256.91
2024-07-21,Cámara DSLR,Audio,Carlos Gómez,Centro,Online,Tarjeta de crédito,Cliente_00765,6,67.09,9.31,365.06
2024-04-07,"Monitor 24""",Audio,Jorge Herrera,Norte,Online,Transferencia bancaria,Cliente_00095,5,208.08,1.01,1029.89
2024-08-31,Smartphone X1,Audio,Camila López,Oeste,Tienda física,Tarjeta de crédito,Cliente_00772,8,761.77,0.05,6091.11
2024-10-25,Cámara DSLR,Electrónica,Luis Martínez,Sur,Tienda física,PayPal,Cliente_00640,2,1222.77,2.84,2376.09
2024-11-23,Teclado mecánico,Electrónica,Sofía Díaz,Este,Online,Tarjeta de débito,Cliente_00971,7,1049.95,10.16,6602.93
2024-11-02,Laptop Pro 15,Accesorios,Carlos Gómez,Este,Marketplace,Tarjeta de débito,Cliente_00013,6,910.81,11.57,4832.58
2024-04-04,Tablet T8,Audio,María Fernández,Norte,Marketplace,Transferencia bancaria,Cliente_00303,4,1350.28,1.59,5315.24
2024-12-20,Auriculares BT,Audio,Camila López,Norte,Marketplace,PayPal,Cliente_00374,6,1467.91,7.78,8122.24
2024-09-27,Teclado mecánico,Accesorios,Camila López,Centro,Marketplace,Transferencia bancaria,Cliente_00324,1,787.86,14.67,672.28
2024-07-13,Smartphone X1,Accesorios,Carlos Gómez,Sur,Online,Transferencia bancaria,Cliente_00405,6,510.23,18.32,2500.54
2024-03-24,Impresora láser,Accesorios,Camila López,Oeste,Online,PayPal,Cliente_00441,6,1381.28,13.75,7148.12
2024-09-08,Impresora láser,Video,Carlos Gómez,Centro,Online,Tarjeta de crédito,Cliente_00440,3,1234.9,0.82,3674.32
2024-04-05,Impresora láser,Accesorios,Jorge Herrera,Oeste,Tienda física,Transferencia bancaria,Cliente_00728,7,565.26,18.63,3219.66
2024-12-08,Ratón ergonómico,Accesorios,Andrés Ruiz,Este,Online,Transferencia bancaria,Cliente_00798,5,1349.95,19.88,5407.9
2024-01-30,Auriculares BT,Computación,Ana Rodríguez,Sur,Tienda física,PayPal,Cliente_00457,8,252.42,2.6,1966.86
2024-08-23,Smartphone X1,Audio,Laura Pérez,Este,Marketplace,Tarjeta de crédito,Cliente_00521,8,787.43,19.5,5071.05
2024-02-02,Smartphone X1,Accesorios,Andrés Ruiz,Este,Marketplace,Transferencia bancaria,Cliente_00849,1,408.18,1.37,402.59
2024-12-01,Auriculares BT,Video,Ana Rodríguez,Centro,Marketplace,Tarjeta de crédito,Cliente_00963,5,838.53,16.51,3500.44
2024-10-22,Laptop Pro 15,Wearables,Luis Martínez,Norte,Tienda física,Tarjeta de crédito,Cliente_00591,10,895.88,15.21,7596.17
2024-04-07,Smartphone X1,Electrónica,Carlos Gómez,Centro,Online,PayPal,Cliente_00913,6,83.43,9.12,454.93
2024-01-05,Ratón ergonómico,Accesorios,Sofía Díaz,Centro,Online,Tarjeta de débito,Cliente_00157,9,380.53,11.4,3034.35
2024-05-05,Cámara DSLR,Accesorios,Andrés Ruiz,Sur,Online,Tarjeta de crédito,Cliente_00371,2,760.5,1.3,1501.23
2024-05-31,Tablet T8,Computación,Miguel Sánchez,Oeste,Tienda física,PayPal,Cliente_00595,2,1192.42,13.38,2065.75
2024-06-25,Smartwatch S3,Audio,Laura Pérez,Oeste,Marketplace,Transferencia bancaria,Cliente_00862,4,562.34,16.4,1880.46
2024-06-12,Tablet T8,Computación,María Fernández,Este,Marketplace,PayPal,Cliente_00865,4,823.07,17.57,2713.83
2024-10-21,Smartwatch S3,Computación,Andrés Ruiz,Norte,Online,PayPal,Cliente_00128,8,1227.67,6.36,9196.72
2024-02-27,Cámara DSLR,Audio,Ana Rodríguez,Sur,Online,Tarjeta de crédito,Cliente_00891,1,1170.79,9.49,1059.68
2024-12-09,Smartphone X1,Accesorios,Miguel Sánchez,Sur,Marketplace,Tarjeta de crédito,Cliente_00958,10,183.17,14.91,1558.59
2024-12-26,Laptop Pro 15,Wearables,Carlos Gómez,Oeste,Online,Tarjeta de débito,Cliente_00337,1,80.17,7.58,74.09
2024-02-23,Teclado mecánico,Audio,Sofía Díaz,Centro,Online,PayPal,Cliente_00814,3,571.21,11.41,1518.1
2024-05-11,Smartphone X1,Audio,Ana Rodríguez,Oeste,Tienda física,Tarjeta de débito,Cliente_00322,4,944.23,1.49,3720.64
2024-08-09,Smartwatch S3,Video,Miguel Sánchez,Este,Online,Transferencia bancaria,Cliente_00557,7,967.72,18.64,5511.36
2024-08-15,Smartwatch S3,Wearables,María Fernández,Centro,Tienda física,Tarjeta de débito,Cliente_00602,1,1149.95,15.18,975.39
2024-10-09,"Monitor 24""",Audio,Andrés Ruiz,Oeste,Tienda física,Tarjeta de crédito,Cliente_00765,3,359.03,6.76,1004.28
2024-11-05,Laptop Pro 15,Audio,Miguel Sánchez,Centro,Tienda física,Transferencia bancaria,Cliente_00421,8,20.28,7.13,150.67
2024-01-01,Auriculares BT,Accesorios,Jorge Herrera,Norte,Online,Tarjeta de débito,Cliente_00216,6,967.95,6.81,5412.2
2024-01-09,Cámara DSLR,Electrónica,Andrés Ruiz,Oeste,Online,Transferencia bancaria,Cliente_00938,5,242.29,18.53,986.97
2024-05-31,Impresora láser,Electrónica,Luis Martínez,Centro,Tienda física,Transferencia bancaria,Cliente_00364,2,1111.22,3.29,2149.32
2024-01-21,Cámara DSLR,Wearables,Laura Pérez,Norte,Marketplace,Tarjeta de crédito,Cliente_00120,4,356.66,16.33,1193.67
2024-07-31,Ratón ergonómico,Electrónica,Miguel Sánchez,Este,Marketplace,Transferencia bancaria,Cliente_00017,3,825.88,13.34,2147.12
2024-06-20,Impresora láser,Computación,Miguel Sánchez,Este,Tienda física,Tarjeta de crédito,Cliente_00105,6,289.92,17.52,1434.76
2024-08-24,"Monitor 24""",Wearables,Miguel Sánchez,Centro,Marketplace,Tarjeta de crédito,Cliente_00251,6,556.98,2.59,3255.33
2024-10-08,Cámara DSLR,Video,Sofía Díaz,Este,Marketplace,Tarjeta de débito,Cliente_00375,7,1189.17,15.46,7037.27
2024-11-05,Teclado mecánico,Wearables,María Fernández,Sur,Marketplace,Tarjeta de crédito,Cliente_00281,3,368.14,13.26,957.97
2024-07-17,Smartwatch S3,Electrónica,Andrés Ruiz,Norte,Marketplace,PayPal,Cliente_00033,2,276.23,18.62,449.59
2024-11-23,Auriculares BT,Video,Camila López,Centro,Online,PayPal,Cliente_00281,2,622.78,0.8,1235.6
2024-01-18,Teclado mecánico,Audio,Sofía Díaz,Este,Marketplace,Tarjeta de débito,Cliente_00011,4,1119.45,0.99,4433.47
2024-07-27,Laptop Pro 15,Accesorios,Ana Rodríguez,Oeste,Tienda física,PayPal,Cliente_00264,3,556.44,11.43,1478.52
2024-10-27,"Monitor 24""",Electrónica,Carlos Gómez,Norte,Online,Tarjeta de débito,Cliente_00996,4,199.51,10.66,712.97
2024-11-30,Teclado mecánico,Video,Andrés Ruiz,Centro,Online,Transferencia bancaria,Cliente_00284,1,316.81,15.43,267.93
2024-07-13,Laptop Pro 15,Electrónica,Luis Martínez,Sur,Marketplace,PayPal,Cliente_00729,2,409.64,16.66,682.79
2024-08-20,Smartphone X1,Accesorios,Carlos Gómez,Este,Online,Transferencia bancaria,Cliente_00702,5,1153.84,7.95,5310.55
2024-07-04,Laptop Pro 15,Wearables,María Fernández,Norte,Tienda física,PayPal,Cliente_00259,3,1428.35,8.92,3902.82
2024-12-15,Cámara DSLR,Audio,Camila López,Centro,Online,Tarjeta de crédito,Cliente_00707,6,210.05,7.47,1166.16
2024-10-15,Impresora láser,Electrónica,Carlos Gómez,Sur,Marketplace,Tarjeta de crédito,Cliente_00751,6,1197.11,4.97,6825.68
2024-04-17,Tablet T8,Accesorios,Ana Rodríguez,Norte,Online,Tarjeta de débito,Cliente_00471,8,1038.3,4.7,7916.0
2024-12-03,Cámara DSLR,Accesorios,Miguel Sánchez,Este,Marketplace,Tarjeta de crédito,Cliente_00505,7,1025.27,11.0,6387.43
2024-03-14,Laptop Pro 15,Audio,Camila López,Sur,Marketplace,Tarjeta de crédito,Cliente_00688,6,1410.48,11.36,7501.5
2024-07-10,Cámara DSLR,Electrónica,Luis Martínez,Este,Marketplace,Transferencia bancaria,Cliente_00329,3,1093.93,19.3,2648.4
2024-11-15,Tablet T8,Video,Jorge Herrera,Norte,Online,PayPal,Cliente_00962,1,604.93,10.47,541.59
2024-01-01,Tablet T8,Wearables,Luis Martínez,Centro,Tienda física,Tarjeta de crédito,Cliente_00960,8,290.02,13.8,1999.98
2024-02-03,"Monitor 24""",Accesorios,María Fernández,Este,Online,Tarjeta de débito,Cliente_00867,10,1217.14,3.83,11705.24
2024-12-11,Impresora láser,Electrónica,Sofía Díaz,Sur,Online,Tarjeta de débito,Cliente_00023,6,261.19,19.57,1260.45
2024-06-15,Smartwatch S3,Accesorios,Sofía Díaz,Centro,Tienda física,Transferencia bancaria,Cliente_00942,1,336.66,0.35,335.48
2024-04-26,Teclado mecánico,Accesorios,Camila López,Oeste,Tienda física,Tarjeta de débito,Cliente_00372,1,1001.37,9.78,903.44
2024-02-21,Impresora láser,Audio,Ana Rodríguez,Norte,Online,PayPal,Cliente_00837,6,238.39,8.0,1315.91
2024-04-05,Smartphone X1,Video,María Fernández,Sur,Marketplace,Transferencia bancaria,Cliente_00224,9,393.17,17.46,2920.7
2024-09-05,Impresora láser,Video,Ana Rodríguez,Este,Marketplace,Transferencia bancaria,Cliente_00651,9,1325.24,16.91,9910.28
2024-02-06,Laptop Pro 15,Electrónica,Jorge Herrera,Centro,Marketplace,Tarjeta de débito,Cliente_00086,10,35.95,4.68,342.68
2024-05-15,"Monitor 24""",Accesorios,Jorge Herrera,Norte,Online,Tarjeta de débito,Cliente_00838,7,85.23,18.0,489.22
2024-04-20,Cámara DSLR,Wearables,Jorge Herrera,Este,Marketplace,Transferencia bancaria,Cliente_00266,3,1016.23,4.96,2897.47
2024-12-29,Auriculares BT,Audio,Jorge Herrera,Sur,Online,Tarjeta de débito,Cliente_00644,4,198.48,7.52,734.22
2024-04-12,Smartphone X1,Accesorios,Luis Martínez,Oeste,Tienda física,Tarjeta de débito,Cliente_00644,4,805.13,11.11,2862.72
2024-08-31,Smartphone X1,Audio,Miguel Sánchez,Norte,Tienda física,Tarjeta de débito,Cliente_00584,5,327.11,9.67,1477.39
