Fecha,Producto,Cantidad,Precio Unitario (USD),Total (USD),Canal de Venta,Método de Pago,Región
2025-04-13,Laptop Pro 15,3,1309.49,3928.47,Marketplace,Tarjeta de crédito,Centro
2025-06-16,Cámara DSLR,3,769.93,2309.79,Online,Tarjeta de débito,Norte
2025-05-03,Ratón ergonómico,3,269.76,809.28,Tienda física,Tarjeta de débito,Este
2025-04-19,Ratón ergonómico,1,29.18,29.18,Venta telefónica,Tarjeta de crédito,Centro
2025-03-28,Ratón ergonómico,2,854.0,1708.0,Online,Tarjeta de débito,Centro
2025-03-28,Cámara DSLR,2,32.21,64.42,Marketplace,Tarjeta de débito,Este
2025-05-24,Laptop Pro 15,6,1497.79,8986.74,Online,Transferencia bancaria,Sur
2025-04-13,Impresora láser,8,1131.42,9051.36,Marketplace,Tarjeta de débito,Este
2025-06-04,Auriculares BT,9,98.38,885.42,Venta telefónica,PayPal,Centro
2025-06-17,Teclado mecánico,8,754.56,6036.48,Online,Transferencia bancaria,Sur
2025-05-18,"Monitor 24""",10,444.33,4443.3,Tienda física,Tarjeta de crédito,Sur
2025-05-25,Tablet T8,7,946.24,6623.68,Online,Tarjeta de débito,Centro
2025-05-25,Auriculares BT,10,577.17,5771.7,Marketplace,PayPal,Sur
2025-06-23,Impresora láser,1,563.07,563.07,Venta telefónica,Tarjeta de débito,Sur
2025-04-30,Laptop Pro 15,1,1356.93,1356.93,Tienda física,Tarjeta de crédito,Norte
2025-04-04,"Monitor 24""",4,549.36,2197.44,Online,Transferencia bancaria,Oeste
2025-06-23,Auriculares BT,8,204.29,1634.32,Tienda física,Transferencia bancaria,Centro
2025-06-18,Ratón ergonómico,3,401.29,1203.87,Tienda física,Tarjeta de débito,Oeste
2025-06-05,"Monitor 24""",5,1088.42,5442.1,Tienda física,Efectivo,Centro
2025-03-25,Tablet T8,5,726.9,3634.5,Online,Transferencia bancaria,Oeste
2025-04-06,Laptop Pro 15,1,498.62,498.62,Online,PayPal,Norte
2025-04-20,"Monitor 24""",8,282.61,2260.88,Venta telefónica,Tarjeta de crédito,Oeste
2025-05-23,Auriculares BT,9,78.87,709.83,Venta telefónica,Tarjeta de débito,Sur
2025-04-14,Impresora láser,2,189.7,379.4,Tienda física,Efectivo,Norte
2025-05-24,Smartwatch S3,5,1098.69,5493.45,Tienda física,PayPal,Sur
2025-05-23,Teclado mecánico,10,1166.62,11666.2,Tienda física,Tarjeta de débito,Centro
2025-03-28,Smartwatch S3,2,325.51,651.02,Tienda física,Efectivo,Sur
2025-05-19,Auriculares BT,2,293.42,586.84,Tienda física,Tarjeta de crédito,Este
2025-05-09,Ratón ergonómico,9,240.33,2162.97,Tienda física,PayPal,Este
2025-05-26,Teclado mecánico,5,446.34,2231.7,Tienda física,Transferencia bancaria,Oeste
2025-04-20,Smartwatch S3,8,836.69,6693.52,Online,Tarjeta de crédito,Oeste
2025-04-01,Smartphone X1,4,844.18,3376.72,Venta telefónica,Tarjeta de crédito,Este
2025-06-01,Impresora láser,4,1145.71,4582.84,Online,Tarjeta de débito,Sur
2025-05-08,Auriculares BT,3,1127.97,3383.91,Venta telefónica,Tarjeta de crédito,Oeste
2025-06-01,Smartwatch S3,6,385.43,2312.58,Online,Tarjeta de débito,Este
2025-05-26,Laptop Pro 15,10,1327.83,13278.3,Venta telefónica,Tarjeta de débito,Norte
2025-05-06,Tablet T8,9,924.14,8317.26,Marketplace,Efectivo,Oeste
